name,count,latitude,longitude
2021S051210010835,833.0,47.551892,-52.792189
2021S051210010836,1219.0,47.546444,-52.794638
2021S051210010837,1307.0,47.618043,-52.709307
2021S051210010838,940.0,47.621631,-52.704678
2021S051210010839,1111.0,47.602533,-52.747774
2021S051210010840,1173.0,47.60118,-52.755049
2021S051210010841,1197.0,47.481101,-52.83538
2021S051210010842,852.0,47.490687,-52.823718
2021S051210010844,445.0,47.492878,-52.815717
2021S051210010846,1204.0,47.494232,-52.804019
2021S051210020079,502.0,47.880764,-54.152059
2021S051210020080,32.0,47.661876,-54.393235
2021S051210020081,538.0,47.365772,-54.933076
2021S051210020082,177.0,47.294221,-55.001782
2021S051210020083,233.0,47.398379,-54.859931
2021S051210020084,126.0,47.368432,-54.902222
2021S051210020085,229.0,47.352822,-54.919446
2021S051210020086,123.0,47.579602,-54.852087
2021S051210020087,84.0,47.556635,-54.859189
2021S051210020088,234.0,47.545988,-54.888478
2021S051210020089,433.0,47.526339,-54.933977
2021S051210020090,0.0,47.631128,-54.798494
2021S051210020091,446.0,47.665225,-54.722822
2021S051210020092,117.0,47.634786,-54.890847
2021S051210020093,176.0,47.724196,-54.814395
2021S051210020094,542.0,47.221968,-55.338209
2021S051210020095,159.0,47.192975,-55.43159
2021S051210020096,398.0,47.14028,-55.322294
2021S051210020097,451.0,47.145501,-55.213823
2021S051210020098,1048.0,47.155772,-55.187531
2021S051210020099,760.0,47.141339,-55.166541
2021S051210020100,357.0,47.178211,-55.142703
2021S051210020101,510.0,47.169014,-55.159614
2021S051210020102,288.0,47.174401,-55.159322
2021S051210020103,327.0,47.168657,-55.168992
2021S051210020104,468.0,47.161973,-55.179765
2021S051210020105,204.0,47.181717,-55.067228
2021S051210020106,361.0,47.163064,-55.116204
2021S051210020107,634.0,47.152541,-55.124128
2021S051210020108,252.0,47.104418,-55.108601
2021S051210020109,0.0,47.081289,-55.14268
2021S051210020110,580.0,47.094578,-55.188517
2021S051210020111,463.0,47.0968,-55.203004
2021S051210020112,546.0,47.082812,-55.214828
2021S051210020113,251.0,47.065836,-55.225303
2021S051210020114,560.0,47.062854,-55.174454
2021S051210020115,226.0,47.056268,-55.140247
2021S051210020116,408.0,47.033622,-55.175464
2021S051210020117,99.0,46.934424,-55.358767
